Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/02/2025,06/04/2025,PACIFIC PARK SCOOPS,Food & Drink,Sale,-11.35,
06/04/2025,06/04/2025,LYFT   *RIDE TUE 3PM,Travel,Sale,-13.25,
06/02/2025,06/04/2025,MINISO SANTA MONICA,Shopping,Sale,-2.32,
06/03/2025,06/04/2025,LA INDUSTRIES,Shopping,Sale,-5.67,
06/03/2025,06/03/2025,WAYMO,Travel,Sale,-16.18,
06/02/2025,06/03/2025,PACIFIC PARK TICKETING,Entertainment,Sale,-34.00,
06/02/2025,06/03/2025,LA GIFT STOP LLC,Shopping,Sale,-15.41,
06/01/2025,06/03/2025,WP GRIFFITH P,Food & Drink,Sale,-4.94,
06/01/2025,06/03/2025,GRIFFITH OBSERVATORY,Entertainment,Sale,-16.00,
06/02/2025,06/03/2025,AMC 9640 ONLINE,Entertainment,Sale,-29.11,
06/01/2025,06/03/2025,PAVILIONS #2105,Groceries,Sale,-29.39,
06/03/2025,06/03/2025,LYFT   *RIDE SUN 7PM,Travel,Sale,-37.80,
06/01/2025,06/02/2025,WB Studio Enterprises Inc,Entertainment,Sale,-9.89,
05/30/2025,06/02/2025,LEVY@SOLDIER FIELD CON,Food & Drink,Sale,-8.93,
05/31/2025,06/02/2025,SUBWAY DBE ORD,Food & Drink,Sale,-13.11,
06/01/2025,06/02/2025,SQ *WARNER BROS. STUDIO T,Entertainment,Sale,-8.29,
05/30/2025,06/02/2025,LEVY@SOLDIER FIELD CON,Food & Drink,Sale,-29.59,
06/01/2025,06/02/2025,WB Studio Enterprises Inc,Entertainment,Sale,-20.94,
06/01/2025,06/02/2025,WB Studio Enterprises Inc,Entertainment,Sale,-19.78,
05/30/2025,06/01/2025,7-ELEVEN 33892,Gas,Sale,-15.72,
05/31/2025,06/01/2025,LYFT   *RIDE SAT 6AM,Travel,Sale,-38.39,
05/30/2025,06/01/2025,TARGET        00032193,Shopping,Sale,-76.06,
05/30/2025,06/01/2025,TST* HEADQUARTERS BEERCAD,Food & Drink,Sale,-12.05,
05/31/2025,06/01/2025,LA METRO - TAP WEB SALES,Travel,Sale,-10.00,
05/29/2025,06/01/2025,TACO BELL 737116,Food & Drink,Sale,-5.02,
05/30/2025,05/30/2025,TWX*WBSTUDIOTOUR,Entertainment,Sale,-152.00,
05/27/2025,05/28/2025,SQ *BUILD COFFEE,Food & Drink,Sale,-5.53,
05/27/2025,05/27/2025,Payment Thank You-Mobile,,Payment,653.51,
05/25/2025,05/27/2025,AMC 0133 RIVER EAST 21,Entertainment,Sale,-30.58,
05/24/2025,05/26/2025,PRIMARK CHICAGO STATE STR,Shopping,Sale,-53.57,
05/24/2025,05/25/2025,DUNKIN #343358 Q35,Food & Drink,Sale,-3.36,
05/24/2025,05/25/2025,BetterMe Inc-Pilates,Health & Wellness,Sale,-13.33,
05/24/2025,05/25/2025,Subway 7659,Food & Drink,Sale,-7.81,
05/21/2025,05/23/2025,TRADER JOE S #706,Groceries,Sale,-5.50,
05/22/2025,05/23/2025,TST*THEORY CHICAGO,Food & Drink,Sale,-42.97,
05/22/2025,05/23/2025,LYFT   *RIDE WED 10AM,Travel,Sale,-6.45,
05/21/2025,05/22/2025,TST*PARLOR PIZZA - RIVER,Food & Drink,Sale,-70.58,
05/20/2025,05/21/2025,SHEIN.COM,Shopping,Sale,-52.81,
05/18/2025,05/20/2025,UCD C SHOP,Food & Drink,Sale,-11.35,
05/17/2025,05/18/2025,DD/BR #349441 Q35,Food & Drink,Sale,-9.97,
05/15/2025,05/16/2025,SQ *TRUENORTH CAFE HYDE P,Food & Drink,Sale,-13.62,
05/15/2025,05/16/2025,SQ *TRUENORTH CAFE HYDE P,Food & Drink,Sale,-11.58,
05/14/2025,05/15/2025,CTLP*MARK VEND COMPANY,Food & Drink,Sale,-2.00,
05/13/2025,05/14/2025,CTLP*MARK VEND COMPANY,Food & Drink,Sale,-1.85,
05/12/2025,05/13/2025,CTLP*MARK VEND COMPANY,Food & Drink,Sale,-1.85,
05/12/2025,05/13/2025,CTLP*MARK VEND COMPANY,Food & Drink,Sale,-1.85,
05/12/2025,05/13/2025,LYFT   *RIDE SUN 4AM,Travel,Sale,-9.98,
05/11/2025,05/12/2025,LYFT   *CANCEL FEE,Travel,Sale,-1.00,
05/10/2025,05/11/2025,Payment Thank You-Mobile,,Payment,160.00,
05/10/2025,05/11/2025,Payment Thank You-Mobile,,Payment,600.00,
05/10/2025,05/11/2025,LYFT   *RIDE FRI 3PM,Travel,Sale,-6.99,
05/11/2025,05/11/2025,LYFT   *RIDE SAT 9PM,Travel,Sale,-7.81,
05/08/2025,05/09/2025,UBER   *TRIP,Travel,Sale,-6.95,
05/07/2025,05/09/2025,TRADER JOE S #706,Groceries,Sale,-69.55,
05/08/2025,05/09/2025,TARGET        00032193,Shopping,Sale,-20.57,
05/07/2025,05/08/2025,LYFT   *RIDE WED 9AM,Travel,Sale,-7.64,
05/07/2025,05/07/2025,LYFT   *RIDE TUE 8PM,Travel,Sale,-15.72,
05/07/2025,05/07/2025,Sunday*RAMEN SAN River No,Food & Drink,Sale,-26.68,
05/06/2025,05/07/2025,TARGET        00032193,Shopping,Sale,-5.93,
05/04/2025,05/06/2025,VICTORIA'S SECRET 0600,Shopping,Sale,-44.06,
05/05/2025,05/06/2025,ETT*Vue53RENT,Professional Services,Sale,-450.00,
05/05/2025,05/05/2025,WB Studio Enterprises Inc,Entertainment,Sale,-29.77,
05/01/2025,05/04/2025,TST*MEDICI GALLERY ON 57,Food & Drink,Sale,-47.10,
05/02/2025,05/04/2025,TARGET        00032193,Shopping,Sale,-2.54,
05/01/2025,05/02/2025,AMC 9640 ONLINE,Entertainment,Sale,-25.70,
05/02/2025,05/02/2025,UBER   *TRIP,Travel,Sale,-5.94,
05/01/2025,05/02/2025,UBER   *TRIP,Travel,Sale,-5.91,
04/30/2025,05/01/2025,TARGET        00032193,Shopping,Sale,-13.15,
05/01/2025,05/01/2025,Subway 10056,Food & Drink,Sale,-3.87,
04/28/2025,04/29/2025,CTLP*MARK VEND COMPANY,Food & Drink,Sale,-1.85,
04/28/2025,04/29/2025,CTLP*MARK VEND COMPANY,Food & Drink,Sale,-2.00,
04/28/2025,04/29/2025,CTLP*MARK VEND COMPANY,Food & Drink,Sale,-1.85,
04/25/2025,04/27/2025,TST*LABRIOLA - CHICAGO 5,Food & Drink,Sale,-140.00,
04/22/2025,04/24/2025,THE HARPER THEATER-F&amp;B,Entertainment,Sale,-7.30,
04/22/2025,04/24/2025,THE HARPER THEATER-F&amp;B,Entertainment,Sale,-13.44,
04/20/2025,04/21/2025,DD/BR #349441 Q35,Food & Drink,Sale,-6.19,
04/17/2025,04/20/2025,TRADER JOE S #706,Groceries,Sale,-16.18,
04/18/2025,04/20/2025,TST*PEQUODS PIZZA - CHI,Food & Drink,Sale,-76.74,
04/18/2025,04/20/2025,CTLP*MARK VEND COMPANY,Food & Drink,Sale,-1.85,
04/18/2025,04/20/2025,CTLP*MARK VEND COMPANY,Food & Drink,Sale,-2.00,
04/19/2025,04/20/2025,TST* NICK'S BEER GARDEN,Food & Drink,Sale,-19.00,
04/17/2025,04/18/2025,WHOLEFDS HDP#10458,Groceries,Sale,-2.82,
04/17/2025,04/17/2025,UBER   *TRIP,Travel,Sale,-4.98,
